Name,Device Type,Device MAC,Associated To Mac,Associated To Hostname,IPv4 Address,IPv6 Address,User Name,Wlan,Channel,RF-Domain,Vlan,OS,Authentication,Encryption,BSSID
00-03-7F-12-12-12,Atheros Comm,00-03-7F-12-12-12,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.9.3,fe80::2216:ad0e:5615:3eab,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-13-13,Atheros Comm,00-03-7F-12-13-13,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.0.126,fe80::64a:c65c:f9d8:2d02,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-29-29,Atheros Comm,00-03-7F-12-29-29,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.0.224,fe80::a16:2813:6134:a81e,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
(null),Atheros Comm,00-03-7F-12-34-56,84-24-8D-1A-FE-40,AP1390-1AFE40,0.0.0.0,N/A,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-39-F1
00-03-7F-12-52-52,Atheros Comm,00-03-7F-12-52-52,84-24-8D-1B-2E-D8,AP1399-1B2ED8,150.130.11.194,fe80::a120:f769:12a1:c808,,M-Guest,60,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-59-B1
00-03-7F-12-80-80,Atheros Comm,00-03-7F-12-80-80,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.4.132,fe80::b9b4:55f7:79d8:c1a9,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-82-82,Atheros Comm,00-03-7F-12-82-82,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.4.215,N/A,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
00-03-7F-12-88-88,Atheros Comm,00-03-7F-12-88-88,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.12.7,fe80::19f:ede0:3c:c7b7,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-A6-A6,Atheros Comm,00-03-7F-12-A6-A6,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.8.10,fe80::b234:ddb6:8fa7:7fac,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
00-03-7F-12-BD-BD,Atheros Comm,00-03-7F-12-BD-BD,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.5.141,N/A,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
LAPTOP-MO1R7B7M,00-05-16,00-05-16-58-C5-11,84-24-8D-1B-7A-F0,AP4359-1B7AF0,150.130.124.86,fe80::d066:3007:6d27:8702,,M-Guest,157,AMERZBR32,164,Unknown,psk,ccmp,84-24-8D-40-13-61
(null),00-08-22,00-08-22-EE-69-FD,84-24-8D-1B-7F-B8,AP4447-1B7FB8,0.0.0.0,N/A,,M-Guest,1,ASIAZCH102,164,Unknown,psk,ccmp,84-24-8D-3F-F3-11
android-b777a358...,00-0A-05,00-0A-05-B8-EA-0B,84-24-8D-1A-2E-64,AP3193-1A2E64,150.130.99.234,N/A,,M-Guest,11,EMEAZWG39,164,Unknown,psk,ccmp,84-24-8D-37-CC-51
(null),00-0A-F5,00-0A-F5-04-00-60,84-24-8D-1B-88-10,AP3018-1B8810,0.0.0.0,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-F8-D1
android-fc93f48f...,00-0A-F5,00-0A-F5-04-61-EC,B8-50-01-73-B5-B0,AP3562-73B5B0,150.130.86.178,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,B8-50-01-8B-83-F1
android-cf8e8121...,00-0A-F5,00-0A-F5-0A-87-80,84-24-8D-19-61-7C,AP3411-19617C,150.130.100.212,N/A,,M-Guest,36,EMEAZSA31,164,Unknown,psk,ccmp,84-24-8D-33-72-D1
(null),00-0A-F5,00-0A-F5-14-E3-80,84-24-8D-1B-85-A0,AP3087-1B85A0,0.0.0.0,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-C6-C1
android-7011c226...,00-0A-F5,00-0A-F5-17-D9-64,84-24-8D-1B-89-6C,AP3014-1B896C,150.130.81.222,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-F0-E1
android-db7511d7...,00-0A-F5,00-0A-F5-1A-78-1A,84-24-8D-1A-0E-5C,AP0301-1A0E5C,150.130.7.97,N/A,,M-Guest,124,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-38-84-E1
android-5566df55...,00-0A-F5,00-0A-F5-1B-35-16,84-24-8D-1B-81-14,AP4115-1B8114,150.130.68.2,N/A,,M-Guest,149,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-42-07-41
android-39671245...,00-0A-F5,00-0A-F5-27-C9-60,84-24-8D-1B-88-10,AP3018-1B8810,150.130.82.46,N/A,,M-Guest,44,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-42-05-D1
android-a973d041...,00-0A-F5,00-0A-F5-28-DD-EA,84-24-8D-1B-86-68,AP3076-1B8668,100.128.2.59,N/A,gcrx84,M-Lab,44,EMEAZPL13,990,Unknown,eap,ccmp,84-24-8D-42-61-22
(null),00-0A-F5,00-0A-F5-3C-51-D8,84-24-8D-1B-7A-58,AP4080-1B7A58,0.0.0.0,N/A,,M-Guest,157,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-48-31
(null),00-0A-F5,00-0A-F5-3C-52-04,84-24-8D-1B-21-F0,AP2351-1B21F0,0.0.0.0,N/A,,M-Guest,11,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-C2-41
android-fed80e58...,00-0A-F5,00-0A-F5-50-02-40,84-24-8D-1B-23-B0,AP2337-1B23B0,150.130.11.23,fe80::20a:f5ff:fe50:240,,M-Guest,6,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-23-D1
(null),00-0A-F5,00-0A-F5-50-04-9C,84-24-8D-1A-F5-1C,AP2342-1AF51C,0.0.0.0,N/A,,M-Guest,11,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-28-A1
android-22419f36...,00-0A-F5,00-0A-F5-50-05-58,84-24-8D-1B-2D-F8,AP1333-1B2DF8,150.130.1.34,N/A,,M-Guest,132,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-47-71
(null),00-0A-F5,00-0A-F5-52-48-54,84-24-8D-1B-85-60,AP3079-1B8560,0.0.0.0,N/A,pkwg37,M-Lab,1,EMEAZPL13,990,Unknown,eap,ccmp,84-24-8D-3F-B3-B2
android-af5f293d...,00-0A-F5,00-0A-F5-6C-0E-44,84-24-8D-1B-21-F0,AP2351-1B21F0,150.130.4.242,N/A,,M-Guest,108,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-4B-81
android-e319740f...,00-0A-F5,00-0A-F5-6D-78-D0,84-24-8D-1B-35-EC,AP0147-1B35EC,150.130.7.56,N/A,,M-Guest,60,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-64-71
00-0A-F5-76-56-69,00-0A-F5,00-0A-F5-76-56-69,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.6.249,N/A,,M-Guest,11,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3E-E5-C1
(null),00-0A-F5,00-0A-F5-78-66-4C,84-24-8D-1B-21-F0,AP2351-1B21F0,0.0.0.0,N/A,,M-Guest,165,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-4B-81
android-813e210e...,00-0A-F5,00-0A-F5-83-A6-D1,84-24-8D-1B-83-18,AP4129-1B8318,150.130.64.245,N/A,,M-Guest,149,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-41-ED-11
00-0A-F5-9C-00-24,00-0A-F5,00-0A-F5-9C-00-24,84-24-8D-1B-21-CC,AP0196-1B21CC,150.130.4.22,N/A,,M-Guest,44,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-4B-91
(null),00-0A-F5,00-0A-F5-A4-6D-62,84-24-8D-1B-72-C8,AP4103-1B72C8,65.90.77.89,N/A,,M-Guest,44,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-42-23-51
(null),00-0A-F5,00-0A-F5-AA-A0-B4,84-24-8D-1B-20-0C,AP1332-1B200C,0.0.0.0,N/A,,M-Guest,60,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3E-F9-C1
android-b0bd20db...,00-0A-F5,00-0A-F5-AA-A1-E4,84-24-8D-1B-23-B0,AP2337-1B23B0,150.130.1.116,N/A,,M-Guest,6,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-23-D1
(null),00-0A-F5,00-0A-F5-AC-04-5C,84-24-8D-1B-21-F0,AP2351-1B21F0,0.0.0.0,N/A,,M-Guest,165,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-4B-81
android-675d5718...,00-0A-F5,00-0A-F5-AF-16-1C,84-24-8D-1B-86-68,AP3076-1B8668,150.130.81.127,N/A,,M-Guest,11,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-AF-31
(null),00-0A-F5,00-0A-F5-B0-00-20,84-24-8D-1B-22-F4,AP2351-1B21F0,0.0.0.0,N/A,,M-Guest,11,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-C2-41
android-f0305e17...,00-0A-F5,00-0A-F5-B0-00-9C,84-24-8D-1B-23-A8,AP2385-1B23A8,150.130.0.198,N/A,,M-Guest,132,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-5E-91
android-ab914477...,00-0A-F5,00-0A-F5-B0-20-88,B8-50-01-37-53-64,AP4680-375364,100.128.0.4,N/A,qwf846,M-Lab,36,EMEAZPL13,990,Unknown,eap,ccmp,B8-50-01-55-BE-E2
android-a11ef6da...,00-0A-F5,00-0A-F5-B3-78-20,84-24-8D-1A-F5-1C,AP2342-1AF51C,150.130.6.160,N/A,,M-Guest,11,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-28-A1
(null),00-0A-F5,00-0A-F5-B4-00-60,84-24-8D-1B-85-A4,AP3019-1B85A4,0.0.0.0,N/A,,M-Guest,11,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-F1-71
android-5cde4a20...,00-0A-F5,00-0A-F5-B8-00-CC,84-24-8D-1B-26-24,AP0079-1B2624,150.130.9.104,N/A,,M-Guest,60,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-2A-E1
(null),00-0A-F5,00-0A-F5-B8-00-D0,84-24-8D-1B-86-DC,AP3012-1B8574,0.0.0.0,N/A,xvbg78,M-Lab,36,EMEAZPL13,990,Unknown,eap,ccmp,84-24-8D-42-5C-E2
(null),00-0A-F5,00-0A-F5-DC-02-5C,84-24-8D-1B-22-58,AP0115-1B2258,0.0.0.0,N/A,,M-Guest,1,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-37-FC-31
android-d5b4502a...,00-0A-F5,00-0A-F5-DC-04-24,84-24-8D-1B-86-68,AP3076-1B8668,100.128.2.32,N/A,grcx84,M-Lab,11,EMEAZPL13,990,Unknown,eap,ccmp,84-24-8D-3F-AF-32
android-67a4ba8e...,00-0A-F5,00-0A-F5-E0-2F-1A,84-24-8D-1A-1E-88,AP4547-1A1E88,150.130.120.68,N/A,,M-Guest,44,ASIAZAS31,164,Unknown,psk,ccmp,84-24-8D-38-00-61
android-7cd3851d...,00-0A-F5,00-0A-F5-F0-48-D0,84-24-8D-1B-2D-F8,AP1333-1B2DF8,150.130.10.118,N/A,,M-Guest,132,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-47-71
android-f0d3bd0d...,00-0A-F5,00-0A-F5-F1-15-9C,84-24-8D-1B-22-F4,AP2365-1B22F4,150.130.9.145,N/A,,M-Guest,1,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-39-0F-31
android-d288f68d...,00-0A-F5,00-0A-F5-F9-7E-1C,84-24-8D-1B-89-C0,AP3134-1B89C0,150.130.102.189,N/A,,M-Guest,11,EMEAZWG39,164,Unknown,psk,ccmp,84-24-8D-3F-FE-01
ai285868,00-0D-B0,00-0D-B0-00-46-47,84-24-8D-1B-25-98,AP1377-1B2598,10.53.21.124,fe80::e14c:b934:39c4:ea03,host/ai285868.ds.mot.com,LAB-Wireless,11,AMERFL08,986,Unknown,eap,ccmp,84-24-8D-3E-E7-60
android-8094b33e...,00-0D-B0,00-0D-B0-C8-70-1F,84-24-8D-1B-81-0C,AP4222-1B810C,150.130.70.194,N/A,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-F3-41
FW60CM3G11006278,00-0E-8E,00-0E-8E-47-5F-F9,84-24-8D-1B-20-D0,AP2139-1B20D0,150.130.47.173,N/A,,M-Guest,100,AMERIL157,164,Unknown,psk,ccmp,84-24-8D-3F-27-B1
FW60CM3G11006278,00-0E-8E,00-0E-8E-47-65-94,84-24-8D-1B-20-88,AP2128-1B2088,150.130.35.1,N/A,,M-Guest,6,AMERIL157,164,Unknown,psk,ccmp,84-24-8D-3E-AB-21
(null),00-0F-60,00-0F-60-08-35-59,84-24-8D-1B-01-B8,AP2140-1B01B8,0.0.0.0,N/A,,M-Guest,1,AMERIL157,164,Unknown,psk,ccmp,84-24-8D-3E-C5-C1
(null),00-0F-7F,00-0F-7F-63-33-DF,84-24-8D-1A-FC-3C,AP1096-1AF7B0,0.0.0.0,N/A,,M-Guest,36,AMERWA25,164,Unknown,psk,ccmp,84-24-8D-3E-F4-D1
(null),00-10-02,00-10-02-2E-02-FA,84-24-8D-1B-79-24,AP4394-1B7924,0.0.0.0,N/A,VCM,LAB-Wireless,1,ASIAZAS31,986,Unknown,eap,ccmp,84-24-8D-41-06-00
(null),00-10-02,00-10-02-34-07-6E,84-24-8D-1A-2F-10,AP3302-1A2F10,0.0.0.0,N/A,VCM,LAB-Wireless,11,EMEAZDK02,986,Unknown,eap,ccmp,84-24-8D-38-D9-E0
ISTA-VCCYV1UZ68T...,00-10-02,00-10-02-39-34-E6,B8-50-01-17-65-44,AP3826-176544,150.130.102.210,N/A,,M-Guest,1,EMEAZUK107,164,Unknown,psk,ccmp,B8-50-01-0B-89-61
(null),00-11-94,00-11-94-D1-D4-BF,84-24-8D-1B-22-FC,AP1407-1B22FC,0.0.0.0,N/A,,M-Guest,6,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-39-10-81
Mike-PC,Intel Corp,00-13-02-27-88-10,84-24-8D-1B-23-4C,AP0193-1B234C,150.130.2.179,N/A,,M-Guest,11,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3E-2F-01
taipan-HP-Compaq...,Intel Corp,00-13-E8-F6-9F-D5,84-24-8D-1A-2F-14,AP3272-1A2FD4,150.130.104.147,N/A,,M-Guest,11,EMEAZDK02,164,Unknown,psk,ccmp,84-24-8D-38-E6-11
home-comp,Gemtek Tech,00-14-A5-44-C9-92,84-24-8D-1B-85-F4,AP3042-1B85F4,150.130.80.91,N/A,,M-Guest,1,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-F1-A1
00-15-70-38-54-2E,Zebra Tech,00-15-70-38-54-2E,84-24-8D-1A-FF-DC,AP2166-1AFFDC,10.4.73.191,N/A,00-15-70-38-54-2E,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-A3-42
00-15-70-39-D8-80,Zebra Tech,00-15-70-39-D8-80,84-24-8D-1A-F7-E4,AP2198-1AF7E4,10.4.73.168,N/A,00-15-70-39-D8-80,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-1C-42
00-15-70-3A-34-34,Zebra Tech,00-15-70-3A-34-34,84-24-8D-1A-F7-E4,AP2198-1AF7E4,10.4.73.209,N/A,00-15-70-3A-34-34,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-1C-42
00-15-70-82-38-5C,Zebra Tech,00-15-70-82-38-5C,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.2,N/A,00-15-70-82-38-5C,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-67-4D-B2
00-15-70-82-38-7E,Zebra Tech,00-15-70-82-38-7E,74-67-F7-A7-C8-00,AP3640-A7C800,10.170.161.3,N/A,00-15-70-82-38-7E,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-FB-AC-12
00-15-70-82-3F-E7,Zebra Tech,00-15-70-82-3F-E7,74-67-F7-A7-C8-00,AP3640-A7C800,10.170.161.5,N/A,00-15-70-82-3F-E7,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-FB-AC-12
00-15-70-83-14-E3,Zebra Tech,00-15-70-83-14-E3,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.141,N/A,00-15-70-83-14-E3,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-86-68-C2,Zebra Tech,00-15-70-86-68-C2,84-24-8D-1B-21-28,AP2206-1B2128,10.4.73.131,N/A,00-15-70-86-68-C2,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-2B-02
00-15-70-88-FD-E5,Zebra Tech,00-15-70-88-FD-E5,84-24-8D-1B-21-28,AP2206-1B2128,10.4.73.49,N/A,00-15-70-88-FD-E5,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-2B-02
00-15-70-89-09-C6,Zebra Tech,00-15-70-89-09-C6,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.199,N/A,00-15-70-89-09-C6,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-89-1F-2A,Zebra Tech,00-15-70-89-1F-2A,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.182,N/A,00-15-70-89-1F-2A,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-89-31-0A,Zebra Tech,00-15-70-89-31-0A,74-67-F7-A7-C8-00,AP3640-A7C800,10.170.161.6,N/A,00-15-70-89-31-0A,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-FB-AC-12
00-15-70-89-52-29,Zebra Tech,00-15-70-89-52-29,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.28,N/A,00-15-70-89-52-29,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-89-5B-B2,Zebra Tech,00-15-70-89-5B-B2,84-24-8D-1B-01-98,AP2196-1B0198,10.4.73.127,N/A,00-15-70-89-5B-B2,M-Service2,6,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-C6-12
00-15-70-89-60-B2,Zebra Tech,00-15-70-89-60-B2,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.62,N/A,00-15-70-89-60-B2,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-89-6F-76,Zebra Tech,00-15-70-89-6F-76,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.133,N/A,00-15-70-89-6F-76,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
00-15-70-8A-4A-16,Zebra Tech,00-15-70-8A-4A-16,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.9,N/A,00-15-70-8A-4A-16,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-67-4D-B2
00-15-70-8B-9F-A5,Zebra Tech,00-15-70-8B-9F-A5,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.11,N/A,00-15-70-8B-9F-A5,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-67-4D-B2
00-15-70-8B-A0-D0,Zebra Tech,00-15-70-8B-A0-D0,74-67-F7-A7-C8-00,AP3640-A7C800,10.170.161.13,N/A,00-15-70-8B-A0-D0,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-FB-AC-12
00-15-70-8B-EE-80,Zebra Tech,00-15-70-8B-EE-80,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.20,N/A,00-15-70-8B-EE-80,LAB-Service,1,EMEAZWG168,987,Unknown,psk,ccmp,74-67-F7-67-4D-B2
00-15-70-8B-EE-91,Zebra Tech,00-15-70-8B-EE-91,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.21,N/A,00-15-70-8B-EE-91,LAB-Service,1,EMEAZWG168,987,Unknown,psk,ccmp,74-67-F7-67-4D-B2
00-15-70-8B-F1-82,Zebra Tech,00-15-70-8B-F1-82,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.23,N/A,00-15-70-8B-F1-82,LAB-Service,1,EMEAZWG168,987,Unknown,psk,ccmp,74-67-F7-67-4D-B2
00-15-70-8C-02-82,Zebra Tech,00-15-70-8C-02-82,84-24-8D-1B-21-28,AP2206-1B2128,10.4.73.184,N/A,00-15-70-8C-02-82,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-2B-02
00-15-70-8E-4B-F3,Zebra Tech,00-15-70-8E-4B-F3,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.28,N/A,00-15-70-8E-4B-F3,LAB-Service,1,EMEAZWG168,987,Unknown,psk,ccmp,74-67-F7-67-4D-B2
00-15-70-8E-4C-42,Zebra Tech,00-15-70-8E-4C-42,74-67-F7-A0-AD-DC,AP3647-A0ADDC,10.170.161.30,N/A,00-15-70-8E-4C-42,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-67-4D-B2
00-15-70-8E-4E-49,Zebra Tech,00-15-70-8E-4E-49,84-24-8D-1B-21-28,AP2206-1B2128,10.4.73.225,N/A,00-15-70-8E-4E-49,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-2B-02
00-15-70-A7-25-F5,Zebra Tech,00-15-70-A7-25-F5,74-67-F7-A7-C8-00,AP3640-A7C800,10.170.161.32,N/A,00-15-70-A7-25-F5,LAB-Service,1,EMEAZWG168,987,Unknown,psk,tkip,74-67-F7-FB-AC-12
00-15-70-A7-B0-1F,Zebra Tech,00-15-70-A7-B0-1F,84-24-8D-1B-21-28,AP2206-1B2128,10.4.73.140,N/A,00-15-70-A7-B0-1F,M-Service2,1,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-2B-02
00-15-70-A7-B0-22,Zebra Tech,00-15-70-A7-B0-22,84-24-8D-1B-00-90,AP2182-1B0090,10.4.73.92,N/A,00-15-70-A7-B0-22,M-Service2,11,AMERIL157,987,Unknown,psk,tkip,84-24-8D-3E-E4-62
(null),Intel Corp,00-16-6F-6F-38-0B,84-24-8D-1B-26-3C,AP1162-1B263C,0.0.0.0,N/A,,M-Guest,6,AMERGA31,164,Unknown,psk,ccmp,84-24-8D-3E-CB-D1
CBN140904155446,Intel Corp,00-16-6F-F0-A0-8C,84-24-8D-1B-1F-4C,AP1036-1B1F4C,150.130.6.253,fe80::1c10:ff75:2393:1277,,M-Guest,36,AMEROH14,164,Unknown,psk,ccmp,84-24-8D-3F-4E-51
MININT-DV3UJJI,Intel Corp,00-16-EA-A2-78-26,84-24-8D-1B-21-3C,AP1317-1B213C,10.14.52.165,fe80::b875:e9ff:d3c0:394b,host/MININT-DV3UJJI.ds.mot.com,LAB-Wireless,157,AMERMD25,986,Unknown,eap,ccmp,84-24-8D-3F-0B-10
IL157CL10,Intel Corp,00-16-EB-36-58-53,84-24-8D-1A-FE-4C,AP2103-1AFE4C,10.4.73.148,fe80::45aa:a732:97cd:f52a,00-16-EB-36-58-53,M-Service2,60,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-38-22
IL157CL11,Intel Corp,00-16-EB-36-59-20,84-24-8D-1A-F6-74,AP2104-1AF674,10.4.73.235,fe80::e1c9:bf16:2046:3fd2,00-16-EB-36-59-20,M-Service2,100,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-3A-D2
DESKTOP-86VL9GK,Intel Corp,00-16-EB-36-5A-74,84-24-8D-1A-FC-EC,AP2347-1AFCEC,10.10.29.150,fe80::6c50:3527:c8ce:b344,00-16-EB-36-5A-74,LAB-Wireless,116,AMERIL156,986,Unknown,eap,ccmp,84-24-8D-3F-3E-A0
IL157RDP06,Intel Corp,00-16-EB-36-65-91,84-24-8D-1B-20-C0,AP2135-1B20C0,10.4.73.76,fe80::1ab7:6b21:3385:8602,00-16-EB-36-65-91,M-Service2,52,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-25-72
IL157RDP10,Intel Corp,00-16-EB-36-65-9B,84-24-8D-1B-20-38,AP2130-1B2038,10.4.73.87,fe80::9e40:8bd8:4694:d4e,00-16-EB-36-65-9B,M-Service2,108,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3E-FC-B2
IL157CL03,Intel Corp,00-16-EB-36-80-FD,84-24-8D-1A-FE-4C,AP2103-1AFE4C,10.4.73.57,fe80::f0ad:5db4:6d4e:c2d9,00-16-EB-36-80-FD,M-Service2,60,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-38-22
IL157CLSP02,Intel Corp,00-16-EB-36-8C-EC,84-24-8D-1A-FE-4C,AP2103-1AFE4C,10.4.73.230,fe80::7eb3:f031:4f88:822,00-16-EB-36-8C-EC,M-Service2,60,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-38-22
IL157CLSP01,Intel Corp,00-16-EB-36-8F-03,84-24-8D-1A-FE-4C,AP2103-1AFE4C,10.4.73.124,fe80::7dd:dc93:7ec9:5f08,00-16-EB-36-8F-03,M-Service2,60,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-38-22
IL157CL02,Intel Corp,00-16-EB-36-8F-62,84-24-8D-19-E2-B8,AP2114-19E2B8,10.4.73.164,fe80::6ee2:ecc6:a6e8:beb3,00-16-EB-36-8F-62,M-Service2,44,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-37-B4-12
IL157CL09,Intel Corp,00-16-EB-37-B4-23,84-24-8D-19-E2-B8,AP2114-19E2B8,10.4.73.63,fe80::cdb4:492b:6690:54f1,00-16-EB-37-B4-23,M-Service2,44,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-37-B4-12
IL157CL04,Intel Corp,00-16-EB-3C-82-B9,84-24-8D-19-E2-B8,AP2114-19E2B8,10.4.73.219,fe80::a16e:2d20:9171:f2bb,00-16-EB-3C-82-B9,M-Service2,44,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-37-B4-12
IL157RDP22,Intel Corp,00-16-EB-6C-8F-04,84-24-8D-1B-34-64,AP2101-1B3464,10.4.73.2,fe80::5d0e:c5f2:205f:30ec,00-16-EB-6C-8F-04,M-Service2,11,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3E-B0-82
IL157RDPC,Intel Corp,00-16-EB-6C-8F-EA,84-24-8D-1B-30-4C,AP2102-1B304C,10.4.73.114,fe80::7b8:5909:2bde:c0d8,00-16-EB-6C-8F-EA,M-Service2,149,AMERIL157,987,Unknown,psk,ccmp,84-24-8D-3F-46-D2
